state_en,name_en,state_ar,name_ar
Nablus,Beita,نابلس,بيتا
Nablus,Almasakin Alshaebia,نابلس,المساكن الشعبية
Nablus,Rujeib,نابلس,روجيب
Nablus,Huwara,نابلس,حوارة
Nablus,"Asira ash-Shamaliya
",نابلس,عصيرة الشمالية
Nablus,Sebastia,نابلس,سبسطية
Nablus,Jamma'in,نابلس,جماعين
Nablus,"As-Sawiya
",نابلس,الساوية
Nablus,Al'Aqrabaniyya,نابلس,العقربانية
Nablus,"Al-Lubban ash-Sharqiya
",نابلس,اللبن الشرقية
Nablus,An-Naqura aljanubia,نابلس,الناقورة الجنوبية
Nablus,Ijnisinya,نابلس,إجنسنيا
Nablus,Osarin,نابلس,أوصرين
Nablus,Yatma,نابلس,يتما
Nablus,Burqa,نابلس,برقة
Nablus,Bizzariya,نابلس,بزاريا
Nablus,Burin,نابلس,بورين
Nablus,"Beit Imrin
",نابلس,بيت امرين
Nablus,"Beit Iba
",نابلس,بيت ايبا
Nablus,"Beit Wazan
",نابلس,بيت وزن
Nablus,Tell,نابلس,تل
Nablus,Talfit,نابلس,تلفيت
Nablus,Jalud,نابلس,جالود
Nablus,"Jurish
",نابلس,جوريش
Nablus,Duma,نابلس,دوما
Nablus,Deir al-Hatab,نابلس,دير الحطب
Nablus,Deir Sharaf,نابلس,دير شرف
Nablus,Rafidia,نابلس,رفيديا
Nablus,"Zawata
",نابلس,زواتا
Nablus,Zeita Jamma'in,نابلس,زيتا جماعين
Nablus,Salem,نابلس,سالم
Nablus,Sarra,نابلس,صرة
Nablus,Talluza,نابلس,طلوزة
Nablus,Azmut,نابلس,عزموط
Nablus,Asira al-Qibliya,نابلس,عصيرة القبلية
Nablus,Awarta,نابلس,عورتا
Nablus,Urif,نابلس,عوريف
Nablus,Einabus,نابلس,عينابوس
Nablus,Qusra,نابلس,قُصرة
Nablus,Qaryut,نابلس,قريوت
Nablus,Qusin,نابلس,قوصين
Nablus,Kafr Qallil,نابلس,كفر كليل
Nablus,Madama,نابلس,مادما
Nablus,Majdal Bani Fadil,نابلس,مجدل بني فاضل
Nablus,Nisf Jubeil,نابلس,نصف جبيل
Nablus,Yasid,نابلس,ياصيد
Nablus,Askar camp,نابلس,مخيم عسكر
